[2021.11.15 17:48:03.488] channelNo = 2, IsIsolationCheckRunning()
[2021.11.15 17:48:03.488]  = 2, m_IsIsolationCheckRunning2 = False
[2021.11.15 17:48:03.489]  = 1, SetIsolationCheckRunning()
[2021.11.15 17:48:03.489]  = 1, m_IsIsolationCheckRunning1 = True
[2021.11.15 17:48:14.995]  = 1, SetIsolationCheckRunning()
[2021.11.15 17:48:14.995]  = 1, m_IsIsolationCheckRunning1 = False
[2021.11.15 17:48:24.130] InspectionResultViewModel::DoLoaded(), ch = 1, run_id = 20211115174603_1_d0cac03e-948b-452d-8466-a6dfbc1b8f58
[2021.11.15 17:49:44.435] channelNo = 2, IsIsolationCheckRunning()
[2021.11.15 17:49:44.436]  = 2, m_IsIsolationCheckRunning2 = False
[2021.11.15 17:49:44.437]  = 1, SetIsolationCheckRunning()
[2021.11.15 17:49:44.437]  = 1, m_IsIsolationCheckRunning1 = True
[2021.11.15 17:50:05.201]  = 1, SetIsolationCheckRunning()
[2021.11.15 17:50:05.201]  = 1, m_IsIsolationCheckRunning1 = False
[2021.11.15 18:04:27.925] channelNo = 1, IsIsolationCheckRunning()
[2021.11.15 18:04:27.925]  = 1, m_IsIsolationCheckRunning1 = False
[2021.11.15 18:04:27.926]  = 2, SetIsolationCheckRunning()
[2021.11.15 18:04:27.927]  = 2, m_IsIsolationCheckRunning1 = True
[2021.11.15 18:04:38.836]  = 2, SetIsolationCheckRunning()
[2021.11.15 18:04:38.836]  = 2, m_IsIsolationCheckRunning1 = False
[2021.11.15 18:04:58.476] InspectionResultViewModel::DoLoaded(), ch = 2, run_id = 20211115175543_2_29e73e77-c0a2-4478-ba56-228d07fbab5b
[2021.11.15 18:06:40.176] InspectionResultViewModel::DoLoaded(), ch = 2, run_id = 20211115175543_2_29e73e77-c0a2-4478-ba56-228d07fbab5b
[2021.11.15 18:10:17.330] channelNo = 1, IsIsolationCheckRunning()
[2021.11.15 18:10:17.330]  = 1, m_IsIsolationCheckRunning1 = False
[2021.11.15 18:10:17.331]  = 2, SetIsolationCheckRunning()
[2021.11.15 18:10:17.331]  = 2, m_IsIsolationCheckRunning1 = True
[2021.11.15 18:10:28.017]  = 2, SetIsolationCheckRunning()
[2021.11.15 18:10:28.017]  = 2, m_IsIsolationCheckRunning1 = False
