[2021.11.18 10:13:29.339] channelNo = 1, IsIsolationCheckRunning()
[2021.11.18 10:13:33.388]  = 1, m_IsIsolationCheckRunning1 = False
[2021.11.18 10:13:37.932]  = 2, SetIsolationCheckRunning()
[2021.11.18 10:13:37.933]  = 2, m_IsIsolationCheckRunning1 = True
[2021.11.18 10:15:14.740]  = 2, SetIsolationCheckRunning()
[2021.11.18 10:15:14.740]  = 2, m_IsIsolationCheckRunning1 = False
[2021.11.18 11:46:47.361] channelNo = 1, IsIsolationCheckRunning()
[2021.11.18 11:46:47.361]  = 1, m_IsIsolationCheckRunning1 = False
[2021.11.18 11:46:47.363]  = 2, SetIsolationCheckRunning()
[2021.11.18 11:46:47.363]  = 2, m_IsIsolationCheckRunning1 = True
[2021.11.18 11:47:15.669]  = 2, SetIsolationCheckRunning()
[2021.11.18 11:47:15.670]  = 2, m_IsIsolationCheckRunning1 = False
[2021.11.18 11:53:07.306] channelNo = 1, IsIsolationCheckRunning()
[2021.11.18 11:53:08.496]  = 1, m_IsIsolationCheckRunning1 = False
[2021.11.18 11:53:09.627]  = 2, SetIsolationCheckRunning()
[2021.11.18 11:53:09.627]  = 2, m_IsIsolationCheckRunning1 = True
[2021.11.18 11:53:34.858]  = 2, SetIsolationCheckRunning()
[2021.11.18 11:53:34.859]  = 2, m_IsIsolationCheckRunning1 = False
[2021.11.18 13:29:59.968] channelNo = 1, IsIsolationCheckRunning()
[2021.11.18 13:29:59.969]  = 1, m_IsIsolationCheckRunning1 = False
[2021.11.18 13:29:59.970]  = 2, SetIsolationCheckRunning()
[2021.11.18 13:29:59.970]  = 2, m_IsIsolationCheckRunning1 = True
[2021.11.18 13:30:13.922]  = 2, SetIsolationCheckRunning()
[2021.11.18 13:30:13.922]  = 2, m_IsIsolationCheckRunning1 = False
[2021.11.18 13:30:43.397] InspectionResultViewModel::DoLoaded(), ch = 2, run_id = 20211118132941_2_be603e84-b102-43d0-8f96-bb824ff97804
[2021.11.18 13:31:14.952] channelNo = 1, IsIsolationCheckRunning()
[2021.11.18 13:31:14.952]  = 1, m_IsIsolationCheckRunning1 = False
[2021.11.18 13:31:14.953]  = 2, SetIsolationCheckRunning()
[2021.11.18 13:31:14.953]  = 2, m_IsIsolationCheckRunning1 = True
[2021.11.18 13:31:28.260]  = 2, SetIsolationCheckRunning()
[2021.11.18 13:31:28.260]  = 2, m_IsIsolationCheckRunning1 = False
[2021.11.18 13:37:02.949] channelNo = 1, IsIsolationCheckRunning()
[2021.11.18 13:37:02.950]  = 1, m_IsIsolationCheckRunning1 = False
[2021.11.18 13:37:02.951]  = 2, SetIsolationCheckRunning()
[2021.11.18 13:37:02.951]  = 2, m_IsIsolationCheckRunning1 = True
[2021.11.18 13:37:22.804]  = 2, SetIsolationCheckRunning()
[2021.11.18 13:37:22.804]  = 2, m_IsIsolationCheckRunning1 = False
[2021.11.18 13:37:55.021] InspectionResultViewModel::DoLoaded(), ch = 2, run_id = 20211118133646_2_875fe7f8-8ec3-492b-bfa7-5e0b77159fa5
[2021.11.18 13:38:20.644] channelNo = 1, IsIsolationCheckRunning()
[2021.11.18 13:38:20.645]  = 1, m_IsIsolationCheckRunning1 = False
[2021.11.18 13:38:20.646]  = 2, SetIsolationCheckRunning()
[2021.11.18 13:38:20.646]  = 2, m_IsIsolationCheckRunning1 = True
[2021.11.18 13:38:42.858]  = 2, SetIsolationCheckRunning()
[2021.11.18 13:38:42.859]  = 2, m_IsIsolationCheckRunning1 = False
[2021.11.18 13:52:45.760] InspectionResultViewModel::DoLoaded(), ch = 2, run_id = 20211118133806_2_0c199642-e609-41ac-9c58-4b48bff4fdd6
[2021.11.18 13:53:06.400] channelNo = 1, IsIsolationCheckRunning()
[2021.11.18 13:53:06.400]  = 1, m_IsIsolationCheckRunning1 = False
[2021.11.18 13:53:06.401]  = 2, SetIsolationCheckRunning()
[2021.11.18 13:53:06.402]  = 2, m_IsIsolationCheckRunning1 = True
[2021.11.18 13:53:28.299]  = 2, SetIsolationCheckRunning()
[2021.11.18 13:53:28.300]  = 2, m_IsIsolationCheckRunning1 = False
